Municipality,Category,Value
Ilam Municipality ,Household,4740
Ilam Municipality ,Population  Male,9674
Ilam Municipality ,Population  Female,9753
Ilam Municipality ,Growth  Rate,1.79
Ilam Municipality ,Area Km. in Sq.,26.63
Ilam Municipality ,Average Household Size,4.1
Ilam Municipality ,Sex  Ratio,99.19
Ilam Municipality ,Population  Density,729.52
Bhadrapur Municipality ,Household,4260
Bhadrapur Municipality ,Population  Male,9324
Bhadrapur Municipality ,Population  Female,9322
Bhadrapur Municipality ,Growth  Rate,0.27
Bhadrapur Municipality ,Area Km. in Sq.,10.56
Bhadrapur Municipality ,Average Household Size,4.38
Bhadrapur Municipality ,Sex  Ratio,100.02
Bhadrapur Municipality ,Population  Density,1765.72
Damak Municipality ,Household,18123
Damak Municipality ,Population  Male,35824
Damak Municipality ,Population  Female,39919
Damak Municipality ,Growth  Rate,7.72
Damak Municipality ,Area Km. in Sq.,70.63
Damak Municipality ,Average Household Size,4.18
Damak Municipality ,Sex  Ratio,89.74
Damak Municipality ,Population  Density,1072.39
Mechinagar Municipality ,Household,13196
Mechinagar Municipality ,Population  Male,27856
Mechinagar Municipality ,Population  Female,30053
Mechinagar Municipality ,Growth  Rate,1.66
Mechinagar Municipality ,Area Km. in Sq.,55.72
Mechinagar Municipality ,Average Household Size,4.39
Mechinagar Municipality ,Sex  Ratio,92.69
Mechinagar Municipality ,Population  Density,1039.29
Biratnagar Sub-Metropolitan City ,Household,45228
Biratnagar Sub-Metropolitan City ,Population  Male,104935
Biratnagar Sub-Metropolitan City ,Population  Female,100014
Biratnagar Sub-Metropolitan City ,Growth  Rate,2.07
Biratnagar Sub-Metropolitan City ,Area Km. in Sq.,58.48
Biratnagar Sub-Metropolitan City ,Average Household Size,4.53
Biratnagar Sub-Metropolitan City ,Sex  Ratio,104.92
Biratnagar Sub-Metropolitan City ,Population  Density,3504.6
Dharan Municipality ,Household,27796
Dharan Municipality ,Population  Male,57562
Dharan Municipality ,Population  Female,62353
Dharan Municipality ,Growth  Rate,2.29
Dharan Municipality ,Area Km. in Sq.,103.38
Dharan Municipality ,Average Household Size,4.31
Dharan Municipality ,Sex  Ratio,92.32
Dharan Municipality ,Population  Density,1159.94
Inaruwa Municipality ,Household,6199
Inaruwa Municipality ,Population  Male,14638
Inaruwa Municipality ,Population  Female,14285
Inaruwa Municipality ,Growth  Rate,2.2
Inaruwa Municipality ,Area Km. in Sq.,22.36
Inaruwa Municipality ,Average Household Size,4.67
Inaruwa Municipality ,Sex  Ratio,102.47
Inaruwa Municipality ,Population  Density,1293.52
Itahari Municipality ,Household,18306
Itahari Municipality ,Population  Male,37606
Itahari Municipality ,Population  Female,39263
Itahari Municipality ,Growth  Rate,6.23
Itahari Municipality ,Area Km. in Sq.,42.37
Itahari Municipality ,Average Household Size,4.2
Itahari Municipality ,Sex  Ratio,95.78
Itahari Municipality ,Population  Density,1814.23
Dhankuta Municipality ,Household,7220
Dhankuta Municipality ,Population  Male,14199
Dhankuta Municipality ,Population  Female,14165
Dhankuta Municipality ,Growth  Rate,3.17
Dhankuta Municipality ,Area Km. in Sq.,48.21
Dhankuta Municipality ,Average Household Size,3.93
Dhankuta Municipality ,Sex  Ratio,100.24
Dhankuta Municipality ,Population  Density,588.34
Khandbari Municipality ,Household,6295
Khandbari Municipality ,Population  Male,12826
Khandbari Municipality ,Population  Female,13832
Khandbari Municipality ,Growth  Rate,2.02
Khandbari Municipality ,Area Km. in Sq.,91.03
Khandbari Municipality ,Average Household Size,4.23
Khandbari Municipality ,Sex  Ratio,92.73
Khandbari Municipality ,Population  Density,292.85
Triyuga Municipality ,Household,15938
Triyuga Municipality ,Population  Male,34284
Triyuga Municipality ,Population  Female,37121
Triyuga Municipality ,Growth  Rate,2.56
Triyuga Municipality ,Area Km. in Sq.,319.88
Triyuga Municipality ,Average Household Size,4.48
Triyuga Municipality ,Sex  Ratio,92.36
Triyuga Municipality ,Population  Density,223.22
Rajbiraj Municipality ,Household,7751
Rajbiraj Municipality ,Population  Male,20044
Rajbiraj Municipality ,Population  Female,18197
Rajbiraj Municipality ,Growth  Rate,2.31
Rajbiraj Municipality ,Area Km. in Sq.,11.96
Rajbiraj Municipality ,Average Household Size,4.93
Rajbiraj Municipality ,Sex  Ratio,110.15
Rajbiraj Municipality ,Population  Density,3197.41
Lahan Municipality ,Household,6483
Lahan Municipality ,Population  Male,17536
Lahan Municipality ,Population  Female,16391
Lahan Municipality ,Growth  Rate,2.04
Lahan Municipality ,Area Km. in Sq.,20.23
Lahan Municipality ,Average Household Size,5.23
Lahan Municipality ,Sex  Ratio,106.99
Lahan Municipality ,Population  Density,1677.06
Siraha Municipality ,Household,5404
Siraha Municipality ,Population  Male,14226
Siraha Municipality ,Population  Female,14605
Siraha Municipality ,Growth  Rate,1.84
Siraha Municipality ,Area Km. in Sq.,23.78
Siraha Municipality ,Average Household Size,5.34
Siraha Municipality ,Sex  Ratio,97.4
Siraha Municipality ,Population  Density,1212.41
Janakpur Municipality ,Household,19195
Janakpur Municipality ,Population  Male,52481
Janakpur Municipality ,Population  Female,45965
Janakpur Municipality ,Growth  Rate,2.83
Janakpur Municipality ,Area Km. in Sq.,24.61
Janakpur Municipality ,Average Household Size,5.13
Janakpur Municipality ,Sex  Ratio,114.18
Janakpur Municipality ,Population  Density,4000.24
Jaleshwor Municipality ,Household,4208
Jaleshwor Municipality ,Population  Male,12888
Jaleshwor Municipality ,Population  Female,11877
Jaleshwor Municipality ,Growth  Rate,1.16
Jaleshwor Municipality ,Area Km. in Sq.,15.49
Jaleshwor Municipality ,Average Household Size,5.89
Jaleshwor Municipality ,Sex  Ratio,108.51
Jaleshwor Municipality ,Population  Density,1598.77
Malangawa Municipality ,Household,4464
Malangawa Municipality ,Population  Male,12988
Malangawa Municipality ,Population  Female,12155
Malangawa Municipality ,Growth  Rate,3.08
Malangawa Municipality ,Area Km. in Sq.,9.39
Malangawa Municipality ,Average Household Size,5.63
Malangawa Municipality ,Sex  Ratio,106.85
Malangawa Municipality ,Population  Density,2677.64
Kamalamai Municipality ,Household,9320
Kamalamai Municipality ,Population  Male,20360
Kamalamai Municipality ,Population  Female,20757
Kamalamai Municipality ,Growth  Rate,2.25
Kamalamai Municipality ,Area Km. in Sq.,207.95
Kamalamai Municipality ,Average Household Size,4.41
Kamalamai Municipality ,Sex  Ratio,98.09
Kamalamai Municipality ,Population  Density,197.73
Bhimeshwor Municipality ,Household,6092
Bhimeshwor Municipality ,Population  Male,11238
Bhimeshwor Municipality ,Population  Female,12099
Bhimeshwor Municipality ,Growth  Rate,0.63
Bhimeshwor Municipality ,Area Km. in Sq.,65.04
Bhimeshwor Municipality ,Average Household Size,3.83
Bhimeshwor Municipality ,Sex  Ratio,92.88
Bhimeshwor Municipality ,Population  Density,358.81
Banepa Municipality ,Household,5546
Banepa Municipality ,Population  Male,12446
Banepa Municipality ,Population  Female,12448
Banepa Municipality ,Growth  Rate,4.53
Banepa Municipality ,Area Km. in Sq.,5.56
Banepa Municipality ,Average Household Size,4.49
Banepa Municipality ,Sex  Ratio,99.98
Banepa Municipality ,Population  Density,4477.34
Dhulikhel Municipality ,Household,3291
Dhulikhel Municipality ,Population  Male,8392
Dhulikhel Municipality ,Population  Female,7871
Dhulikhel Municipality ,Growth  Rate,3.45
Dhulikhel Municipality ,Area Km. in Sq.,12.08
Dhulikhel Municipality ,Average Household Size,4.94
Dhulikhel Municipality ,Sex  Ratio,106.62
Dhulikhel Municipality ,Population  Density,1346.27
Panauti Municipality ,Household,5956
Panauti Municipality ,Population  Male,13768
Panauti Municipality ,Population  Female,14544
Panauti Municipality ,Growth  Rate,1.02
Panauti Municipality ,Area Km. in Sq.,31.73
Panauti Municipality ,Average Household Size,4.75
Panauti Municipality ,Sex  Ratio,94.66
Panauti Municipality ,Population  Density,892.28
Lalitpur Sub-metropolitan city ,Household,54748
Lalitpur Sub-metropolitan city ,Population  Male,117932
Lalitpur Sub-metropolitan city ,Population  Female,108796
Lalitpur Sub-metropolitan city ,Growth  Rate,3.3
Lalitpur Sub-metropolitan city ,Area Km. in Sq.,15.15
Lalitpur Sub-metropolitan city ,Average Household Size,4.14
Lalitpur Sub-metropolitan city ,Sex  Ratio,108.4
Lalitpur Sub-metropolitan city ,Population  Density,14965.54
Bhaktapur Municipality ,Household,17655
Bhaktapur Municipality ,Population  Male,42678
Bhaktapur Municipality ,Population  Female,40980
Bhaktapur Municipality ,Growth  Rate,1.43
Bhaktapur Municipality ,Area Km. in Sq.,6.56
Bhaktapur Municipality ,Average Household Size,4.74
Bhaktapur Municipality ,Sex  Ratio,104.14
Bhaktapur Municipality ,Population  Density,12752.74
Madhyapur Thimi Municipality ,Household,20337
Madhyapur Thimi Municipality ,Population  Male,43510
Madhyapur Thimi Municipality ,Population  Female,40632
Madhyapur Thimi Municipality ,Growth  Rate,5.67
Madhyapur Thimi Municipality ,Area Km. in Sq.,11.11
Madhyapur Thimi Municipality ,Average Household Size,4.14
Madhyapur Thimi Municipality ,Sex  Ratio,107.08
Madhyapur Thimi Municipality ,Population  Density,7573.54
Kathmandu Metropolitan City ,Household,254764
Kathmandu Metropolitan City ,Population  Male,533127
Kathmandu Metropolitan City ,Population  Female,470158
Kathmandu Metropolitan City ,Growth  Rate,4.01
Kathmandu Metropolitan City ,Area Km. in Sq.,49.45
Kathmandu Metropolitan City ,Average Household Size,3.94
Kathmandu Metropolitan City ,Sex  Ratio,113.39
Kathmandu Metropolitan City ,Population  Density,20288.88
Kirtipur Municipality ,Household,19464
Kirtipur Municipality ,Population  Male,37485
Kirtipur Municipality ,Population  Female,29686
Kirtipur Municipality ,Growth  Rate,4.98
Kirtipur Municipality ,Area Km. in Sq.,14.76
Kirtipur Municipality ,Average Household Size,3.45
Kirtipur Municipality ,Sex  Ratio,126.27
Kirtipur Municipality ,Population  Density,4550.88
Bidur Municipality ,Household,6279
Bidur Municipality ,Population  Male,13608
Bidur Municipality ,Population  Female,14345
Bidur Municipality ,Growth  Rate,2.77
Bidur Municipality ,Area Km. in Sq.,33.48
Bidur Municipality ,Average Household Size,4.45
Bidur Municipality ,Sex  Ratio,94.86
Bidur Municipality ,Population  Density,834.92
Hetauda Municipality ,Household,19890
Hetauda Municipality ,Population  Male,42981
Hetauda Municipality ,Population  Female,42672
Hetauda Municipality ,Growth  Rate,2.24
Hetauda Municipality ,Area Km. in Sq.,47.77
Hetauda Municipality ,Average Household Size,4.31
Hetauda Municipality ,Sex  Ratio,100.72
Hetauda Municipality ,Population  Density,1793.03
Gaur Municipality ,Household,5639
Gaur Municipality ,Population  Male,18697
Gaur Municipality ,Population  Female,16673
Gaur Municipality ,Growth  Rate,3.32
Gaur Municipality ,Area Km. in Sq.,21.53
Gaur Municipality ,Average Household Size,6.27
Gaur Municipality ,Sex  Ratio,112.14
Gaur Municipality ,Population  Density,1642.82
Kalaiya Municipality ,Household,6852
Kalaiya Municipality ,Population  Male,22686
Kalaiya Municipality ,Population  Female,20451
Kalaiya Municipality ,Growth  Rate,2.91
Kalaiya Municipality ,Area Km. in Sq.,18.98
Kalaiya Municipality ,Average Household Size,6.3
Kalaiya Municipality ,Sex  Ratio,110.93
Kalaiya Municipality ,Population  Density,2272.76
Birgunj Sub-Metropolitan City ,Household,24180
Birgunj Sub-Metropolitan City ,Population  Male,75382
Birgunj Sub-Metropolitan City ,Population  Female,63686
Birgunj Sub-Metropolitan City ,Growth  Rate,2.12
Birgunj Sub-Metropolitan City ,Area Km. in Sq.,21.17
Birgunj Sub-Metropolitan City ,Average Household Size,5.75
Birgunj Sub-Metropolitan City ,Sex  Ratio,118.37
Birgunj Sub-Metropolitan City ,Population  Density,6569.11
Bharatpur Municipality ,Household,36987
Bharatpur Municipality ,Population  Male,74205
Bharatpur Municipality ,Population  Female,73572
Bharatpur Municipality ,Growth  Rate,5.03
Bharatpur Municipality ,Area Km. in Sq.,162.16
Bharatpur Municipality ,Average Household Size,4
Bharatpur Municipality ,Sex  Ratio,100.86
Bharatpur Municipality ,Population  Density,911.3
Ratnanagar Municipality ,Household,10861
Ratnanagar Municipality ,Population  Male,22373
Ratnanagar Municipality ,Population  Female,24234
Ratnanagar Municipality ,Growth  Rate,2.1
Ratnanagar Municipality ,Area Km. in Sq.,35.62
Ratnanagar Municipality ,Average Household Size,4.29
Ratnanagar Municipality ,Sex  Ratio,92.32
Ratnanagar Municipality ,Population  Density,1308.45
Gorkha Municipality ,Household,8810
Gorkha Municipality ,Population  Male,15895
Gorkha Municipality ,Population  Female,17970
Gorkha Municipality ,Growth  Rate,2.73
Gorkha Municipality ,Area Km. in Sq.,60.28
Gorkha Municipality ,Average Household Size,3.84
Gorkha Municipality ,Sex  Ratio,88.45
Gorkha Municipality ,Population  Density,561.79
Byas Municipality ,Household,11326
Byas Municipality ,Population  Male,20005
Byas Municipality ,Population  Female,23610
Byas Municipality ,Growth  Rate,4.34
Byas Municipality ,Area Km. in Sq.,60.02
Byas Municipality ,Average Household Size,3.85
Byas Municipality ,Sex  Ratio,84.73
Byas Municipality ,Population  Density,726.67
Putalibazar Municipality ,Household,8190
Putalibazar Municipality ,Population  Male,14122
Putalibazar Municipality ,Population  Female,17216
Putalibazar Municipality ,Growth  Rate,0.55
Putalibazar Municipality ,Area Km. in Sq.,70.14
Putalibazar Municipality ,Average Household Size,3.83
Putalibazar Municipality ,Sex  Ratio,82.03
Putalibazar Municipality ,Population  Density,446.79
Waling Municipality ,Household,5959
Waling Municipality ,Population  Male,10987
Waling Municipality ,Population  Female,13212
Waling Municipality ,Growth  Rate,1.7
Waling Municipality ,Area Km. in Sq.,34.76
Waling Municipality ,Average Household Size,4.06
Waling Municipality ,Sex  Ratio,83.16
Waling Municipality ,Population  Density,696.17
Lekhnath Municipality ,Household,14958
Lekhnath Municipality ,Population  Male,27394
Lekhnath Municipality ,Population  Female,32104
Lekhnath Municipality ,Growth  Rate,3.63
Lekhnath Municipality ,Area Km. in Sq.,77.45
Lekhnath Municipality ,Average Household Size,3.98
Lekhnath Municipality ,Sex  Ratio,85.33
Lekhnath Municipality ,Population  Density,768.21
Pokhara Sub-Metropolitan City ,Household,68398
Pokhara Sub-Metropolitan City ,Population  Male,133318
Pokhara Sub-Metropolitan City ,Population  Female,131673
Pokhara Sub-Metropolitan City ,Growth  Rate,5.28
Pokhara Sub-Metropolitan City ,Area Km. in Sq.,55.22
Pokhara Sub-Metropolitan City ,Average Household Size,3.87
Pokhara Sub-Metropolitan City ,Sex  Ratio,101.25
Pokhara Sub-Metropolitan City ,Population  Density,4798.82
Baglung Municipality ,Household,7859
Baglung Municipality ,Population  Male,14710
Baglung Municipality ,Population  Female,16053
Baglung Municipality ,Growth  Rate,3.89
Baglung Municipality ,Area Km. in Sq.,18.35
Baglung Municipality ,Average Household Size,3.91
Baglung Municipality ,Sex  Ratio,91.63
Baglung Municipality ,Population  Density,1676.46
Tansen Municipality ,Household,8433
Tansen Municipality ,Population  Male,15332
Tansen Municipality ,Population  Female,15829
Tansen Municipality ,Growth  Rate,4.22
Tansen Municipality ,Area Km. in Sq.,21.72
Tansen Municipality ,Average Household Size,3.7
Tansen Municipality ,Sex  Ratio,96.86
Tansen Municipality ,Population  Density,1434.67
Ramgram Municipality ,Household,4982
Ramgram Municipality ,Population  Male,15505
Ramgram Municipality ,Population  Female,13468
Ramgram Municipality ,Growth  Rate,2.47
Ramgram Municipality ,Area Km. in Sq.,34.72
Ramgram Municipality ,Average Household Size,5.82
Ramgram Municipality ,Sex  Ratio,115.12
Ramgram Municipality ,Population  Density,834.48
Butwal Municipality ,Household,29687
Butwal Municipality ,Population  Male,60870
Butwal Municipality ,Population  Female,60112
Butwal Municipality ,Growth  Rate,4.73
Butwal Municipality ,Area Km. in Sq.,69.28
Butwal Municipality ,Average Household Size,4.08
Butwal Municipality ,Sex  Ratio,101.26
Butwal Municipality ,Population  Density,1746.28
Siddharthanagar Municipality ,Household,12513
Siddharthanagar Municipality ,Population  Male,32671
Siddharthanagar Municipality ,Population  Female,31895
Siddharthanagar Municipality ,Growth  Rate,2.06
Siddharthanagar Municipality ,Area Km. in Sq.,36.03
Siddharthanagar Municipality ,Average Household Size,5.16
Siddharthanagar Municipality ,Sex  Ratio,102.43
Siddharthanagar Municipality ,Population  Density,1792.01
Kapilvastu Municipality ,Household,5136
Kapilvastu Municipality ,Population  Male,15654
Kapilvastu Municipality ,Population  Female,15236
Kapilvastu Municipality ,Growth  Rate,1.28
Kapilvastu Municipality ,Area Km. in Sq.,37.2
Kapilvastu Municipality ,Average Household Size,6.01
Kapilvastu Municipality ,Sex  Ratio,102.74
Kapilvastu Municipality ,Population  Density,830.38
Ghorahi Municipality ,Household,15517
Ghorahi Municipality ,Population  Male,32149
Ghorahi Municipality ,Population  Female,32958
Ghorahi Municipality ,Growth  Rate,4.12
Ghorahi Municipality ,Area Km. in Sq.,74.45
Ghorahi Municipality ,Average Household Size,4.2
Ghorahi Municipality ,Sex  Ratio,97.55
Ghorahi Municipality ,Population  Density,874.51
Tulsipur Municipality ,Household,12223
Tulsipur Municipality ,Population  Male,25293
Tulsipur Municipality ,Population  Female,26931
Tulsipur Municipality ,Growth  Rate,4.33
Tulsipur Municipality ,Area Km. in Sq.,92.22
Tulsipur Municipality ,Average Household Size,4.27
Tulsipur Municipality ,Sex  Ratio,93.92
Tulsipur Municipality ,Population  Density,566.3
Nepalgunj Municipality ,Household,15200
Nepalgunj Municipality ,Population  Male,38113
Nepalgunj Municipality ,Population  Female,35666
Nepalgunj Municipality ,Growth  Rate,2.49
Nepalgunj Municipality ,Area Km. in Sq.,12.51
Nepalgunj Municipality ,Average Household Size,4.85
Nepalgunj Municipality ,Sex  Ratio,106.86
Nepalgunj Municipality ,Population  Density,5897.6
Gulariya Municipality ,Household,11230
Gulariya Municipality ,Population  Male,29399
Gulariya Municipality ,Population  Female,27833
Gulariya Municipality ,Growth  Rate,2.18
Gulariya Municipality ,Area Km. in Sq.,95.14
Gulariya Municipality ,Average Household Size,5.1
Gulariya Municipality ,Sex  Ratio,105.63
Gulariya Municipality ,Population  Density,601.56
Birendranagar Municipality ,Household,12045
Birendranagar Municipality ,Population  Male,27221
Birendranagar Municipality ,Population  Female,24916
Birendranagar Municipality ,Growth  Rate,5.08
Birendranagar Municipality ,Area Km. in Sq.,34.95
Birendranagar Municipality ,Average Household Size,4.33
Birendranagar Municipality ,Sex  Ratio,109.25
Birendranagar Municipality ,Population  Density,1491.76
Narayan Municipality ,Household,4681
Narayan Municipality ,Population  Male,10733
Narayan Municipality ,Population  Female,11262
Narayan Municipality ,Growth  Rate,1.23
Narayan Municipality ,Area Km. in Sq.,67.01
Narayan Municipality ,Average Household Size,4.7
Narayan Municipality ,Sex  Ratio,95.3
Narayan Municipality ,Population  Density,328.23
Dipayal Silgadhi Municipality ,Household,5509
Dipayal Silgadhi Municipality ,Population  Male,13686
Dipayal Silgadhi Municipality ,Population  Female,12822
Dipayal Silgadhi Municipality ,Growth  Rate,1.84
Dipayal Silgadhi Municipality ,Area Km. in Sq.,73.98
Dipayal Silgadhi Municipality ,Average Household Size,4.81
Dipayal Silgadhi Municipality ,Sex  Ratio,106.74
Dipayal Silgadhi Municipality ,Population  Density,358.31
Dhangadhi Municipality ,Household,21059
Dhangadhi Municipality ,Population  Male,53237
Dhangadhi Municipality ,Population  Female,50810
Dhangadhi Municipality ,Growth  Rate,4.34
Dhangadhi Municipality ,Area Km. in Sq.,103.73
Dhangadhi Municipality ,Average Household Size,4.94
Dhangadhi Municipality ,Sex  Ratio,104.78
Dhangadhi Municipality ,Population  Density,1003.06
Tikapur Municipality ,Household,11639
Tikapur Municipality ,Population  Male,27640
Tikapur Municipality ,Population  Female,29343
Tikapur Municipality ,Growth  Rate,3.86
Tikapur Municipality ,Area Km. in Sq.,67.11
Tikapur Municipality ,Average Household Size,4.9
Tikapur Municipality ,Sex  Ratio,94.2
Tikapur Municipality ,Population  Density,849.1
Bhimdatta Municipality ,Household,20695
Bhimdatta Municipality ,Population  Male,53098
Bhimdatta Municipality ,Population  Female,53568
Bhimdatta Municipality ,Growth  Rate,2.77
Bhimdatta Municipality ,Area Km. in Sq.,171.24
Bhimdatta Municipality ,Average Household Size,5.15
Bhimdatta Municipality ,Sex  Ratio,99.12
Bhimdatta Municipality ,Population  Density,622.9
Amargadhi Municipality ,Household,4786
Amargadhi Municipality ,Population  Male,10963
Amargadhi Municipality ,Population  Female,11278
Amargadhi Municipality ,Growth  Rate,1.9
Amargadhi Municipality ,Area Km. in Sq.,138.95
Amargadhi Municipality ,Average Household Size,4.65
Amargadhi Municipality ,Sex  Ratio,97.21
Amargadhi Municipality ,Population  Density,160.06
Dasharathchanda Municipality ,Household,3795
Dasharathchanda Municipality ,Population  Male,8295
Dasharathchanda Municipality ,Population  Female,9132
Dasharathchanda Municipality ,Growth  Rate,-0.51
Dasharathchanda Municipality ,Area Km. in Sq.,55.01
Dasharathchanda Municipality ,Average Household Size,4.59
Dasharathchanda Municipality ,Sex  Ratio,90.83
Dasharathchanda Municipality ,Population  Density,316.8
